WKT;ID;NOMBRE;CALLE1;CALLE2;INTERSEC;INAUGURA;LIN_SENT_N;LIN_SENT_S;METROBUS
POINT (-58.483892867336046 -34.523456202310996);141;Arenales;MAIPU AV;;Entre Gral San Martín y Arenales;si;59 - 152;;Metrobus Norte - Av Maipú (provincia)
POINT (-58.484385856253368 -34.522545461665132);142;Libertad;MAIPU AV;;Entre Arenales y Libertad;si;203 - 314 - 365;;Metrobus Norte - Av Maipú (provincia)
POINT (-58.485045743321443 -34.521540482857816);143;Yrigoyen;MAIPU AV;;Entre Libertad e Hipólito Yrigoyen;si;;19 - 59 - 71 - 152;Metrobus Norte - Av Maipú (provincia)
POINT (-58.485667625501243 -34.520353376576452);144;Italia;MAIPU AV;;Entre Hipólito Yrigoyen e Italia;si;;21 - 60 - 203 - 314 - 365;Metrobus Norte - Av Maipú (provincia)
POINT (-58.486243923286317 -34.519021827020794);145;Malaver;MAIPU AV;;Entre Italia y Antonio Malaver;si;19 - 21 - 59 - 60 - 71 - 152 - 203 - 314 - 365;;Metrobus Norte - Av Maipú (provincia)
POINT (-58.469734654706464 -34.547045195035878);146;Paroissien;CABILDO AV;;Entre Av García del Río y Paroissien;si;;152 - 161 - 168 - 184 -194;Metrobus Norte - Av Cabildo
POINT (-58.459314462146679 -34.60427631491541);147;Pappo Napolitano;AV SAN MARTIN;;Entre Juan B. Justo y Fragata Sarmiento;si;;Sentido Este: 24 - 57 - 105 - 135 - 146;Metrobus Av San Martín
POINT (-58.465215193045232 -34.602774929580498);148;Donato Álvarez;AV SAN MARTIN;;Entre Juan A. García y Adolfo Dickman;si;Sentido Oeste: 24 - 57 - 105 - 109 - 135 - 146;Sentido Este: 24 - 57 - 105 - 109 - 135 - 146;Metrobus Av San Martín
POINT (-58.470119655218106 -34.601585413554091);149;Álvarez Jonte;AV SAN MARTIN;;Entre Álvarez Jonte y Miguel Ángel;si;Sentido Oeste: 24 - 57 - 105 - 146;Sentido Este: 24 - 57 - 105 - 146;Metrobus Av San Martín
POINT (-58.480939832332979 -34.598762427287816);150;Empedrado;AV SAN MARTIN;;Entre Basilio Cittadini y Gral Rivas;si;Sentido Oeste: 47 - 57 - 78 - 105 - 146;Sentido Este: 47 - 57 - 78 - 105 - 146;Metrobus Av San Martín
POINT (-58.483526239117943 -34.597751897357206);151;Agronomía;AV SAN MARTIN;;Entre Gral Rivas y Melincué;si;Sentido Oeste: 57 - 78 - 105 - 146;Sentido Este: 57 - 78 - 105 - 146;Metrobus Av San Martín
POINT (-58.486892651625354 -34.597481367995051);152;2 de Abril;AV SAN MARTIN;;Entre Melincué y est. Plurinacional de Bolivia;si;Sentido Oeste: 57 - 78 - 105 - 146;Sentido Este: 57 - 78 - 105 - 146;Metrobus Av San Martín
POINT (-58.491496752974747 -34.597162158662641);153;Comunicaciones;AV SAN MARTIN;;Entre Tinogasta y Nazca;si;Sentido Oeste: 57 - 78 - 105 - 146;Sentido Este: 57 - 78 - 105 - 146;Metrobus Av San Martín
POINT (-58.495198618281506 -34.596915822264052);154;Roffo;AV SAN MARTIN;;Entre Nazca y Beiró;si;Sentido Oeste: 57 - 78 - 105 - 146;Sentido Este: 57 - 78 - 105 - 146;Metrobus Av San Martín
POINT (-58.499382571572674 -34.595996721056672);155;Solano López;AV SAN MARTIN;;Entre Navarro y Pedro Morán;si;Sentido Oeste: 57 - 78;Sentido Este: 57 - 78 - 105;Metrobus Av San Martín
POINT (-58.507502950065302 -34.592977814026412);156;Cubas;AV SAN MARTIN;;Entre Habana y Vallejos;si;Sentido Oeste: 57 - 78 - 123 - 176;Sentido Este: 57 - 78;Metrobus Av San Martín
POINT (-58.51119218408256 -34.591631370530585);157;Mosconi;AV SAN MARTIN;;Entre Gabriela Mistral y Carlos Antonio López;si;Sentido Oeste: 57 - 78 - 87 - 123 - 176;Sentido Este: 57 - 78 - 123 - 176;Metrobus Av San Martín
POINT (-58.515194768457583 -34.590420283315929);158;Ladines;AV SAN MARTIN;;Entre Griveo y Cabezón José León;si;Sentido Oeste: 57 - 78 - 87 - 123 - 176;Sentido Este: 57 - 78 - 87 - 123 - 176;Metrobus Av San Martín
