WKT;ID;NOMBRE;CALLE1;CALLE2;INTERSEC;INAUGURA;LIN_SENT_N;LIN_SENT_S;METROBUS
POINT (-58.417303847432272 -34.65495210583083);82;Sáenz;RABANAL AV;;Entre Sáenz y Del Barco Centenera;si;;76 - 91 - 115;Metrobus Sur - Ramal Coronel Roca
POINT (-58.416366660214976 -34.651678935229995);83;Pompeya;SAENZ AV;;Entre Luppi y Lynch;si;91 - 115;91 - 115;Metrobus Sur - Ramal Coronel Roca
POINT (-58.415747042585139 -34.647598156955318);84;Grito de Asencio;ALMAFUERTE AV;;Entre Famatina y Grito de Asencio;si;115;;Metrobus Sur - Ramal Coronel Roca
POINT (-58.414183361160042 -34.645057418477954);85;José C. Paz;ALMAFUERTE AV;;Entre Andrés Ferreira y José C Paz;si;115;;Metrobus Sur - Ramal Coronel Roca
POINT (-58.412867524183405 -34.642149886727935);86;Cortejarena;ALMAFUERTE AV;;Entre Puna y Chutro;si;115;;Metrobus Sur - Ramal Coronel Roca
POINT (-58.410694027391088 -34.63629558372746);87;Bathurst;SANCHEZ DE LORIA AV;;Entre Cátulo Castillo y Rondeau;si;115;;Metrobus Sur - Ramal Coronel Roca
POINT (-58.409569452446874 -34.634788420490487);88;Brasil;BRASIL AV;;Entre 24 de Noviembre y Sánchez de Loria;si;6 - 97 - 143;;Metrobus Sur - Ramal Coronel Roca
POINT (-58.406685235321454 -34.633901709072504);89;La Rioja;BRASIL AV;;Entre La Rioja y Gral Urquiza;si;6 - 97 -143;;Metrobus Sur - Ramal Coronel Roca
POINT (-58.400997466539785 -34.631774725411134);90;Jujuy;BRASIL AV;;Entre Jujuy y Catamarca;si;6 - 97 -143;;Metrobus Sur - Ramal Coronel Roca
POINT (-58.395399668186073 -34.630204617071008);91;Garraham;BRASIL AV;;Entre Pichincha y Combate de los Pozos;si;6 - 97 -143;;Metrobus Sur - Ramal Coronel Roca
POINT (-58.392060919015499 -34.629583083863849);92;Entre Ríos;BRASIL AV;;Entre Pichincha y Combate de los Pozos;si;6 - 97 -143;;Metrobus Sur - Ramal Coronel Roca
POINT (-58.461231785802276 -34.689972591925965);93;Soldado de la Frontera;ROCA CNEL AV;;Entre Soldado de la Frontera y Racedo;si;47 - 91 - 114 - 115 - 117 - 141 - 150;91 - 115;Metrobus Sur - Ramal Coronel Roca
POINT (-58.437800559653766 -34.6556493390366);94;Varela;FERNANDEZ DE LA CRUZ AV;;Entre Pedernera y Castañares;si;23 - 76 - 101 - 143 - 150;;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.456992885332269 -34.686431234637929);95;Larrazábal;ROCA CNEL AV;;Entre Pasaje Roca y Larrazábal;si;91 - 115;;Metrobus Sur - Ramal Coronel Roca
POINT (-58.436211001432341 -34.664350230766622);96;Lafuente;RABANAL AV;;Entre San Pedrito y José Martí;si;76 - 91 - 115;;Metrobus Sur - Ramal Coronel Roca
POINT (-58.432315345703188 -34.662350037972772);97;Varela;RABANAL AV;;Entre Varela y Culpina;si;76 - 91 - 115;;Metrobus Sur - Ramal Coronel Roca
POINT (-58.428996916774295 -34.660503246952374);98;Berg;RABANAL AV;;Entre Berg y Rivera Indarte;si;76 - 91 - 115;;Metrobus Sur - Ramal Coronel Roca
POINT (-58.426067799094874 -34.658863910069819);99;Bonorino;RABANAL AV;;Entre Bonorino Esteban y Charrúa;si;76 - 91 - 115;;Metrobus Sur - Ramal Coronel Roca
POINT (-58.421561538218135 -34.656709838063897);100;Vedia;RABANAL AV;;Rabanal y Vedia Agustín;si;76 - 91 - 115;;Metrobus Sur - Ramal Coronel Roca
POINT (-58.417234026537677 -34.655141104177702);101;Sáenz;RABANAL AV;;Entre Sáenz y Del Barco Centenera;si;91 - 115;;Metrobus Sur - Ramal Coronel Roca
POINT (-58.46116596623272 -34.556844402182371);102;Roosevelt;CABILDO AV;;Entre Roosvelt y Manuel Ugarte;si;41 - 57 - 60 - 194;;Metrobus Norte - Av Cabildo
POINT (-58.462076906167631 -34.555889798698935);103;Ugarte;CABILDO AV;;Entre Manuel Ugarte y Av Congreso;si;59 - 68 - 133 - 152 - 168;;Metrobus Norte - Av Cabildo
POINT (-58.462980234421792 -34.554954029308561);104;Congreso;CABILDO AV;;Entre Av Congreso y Quesada;si;29 - 60 - 168 - 184;;Metrobus Norte - Av Cabildo
POINT (-58.463086507803688 -34.555016832422801);105;Congreso;CABILDO AV;;Entre Av Congreso y Quesada;si;;59 - 60 - 68 - 152 - 161;Metrobus Norte - Av Cabildo
POINT (-58.464088495295819 -34.554011970591361);106;Quesada;CABILDO AV;;Entre Quesada e Iberá;si;;29 - 57- 133 - 168 - 184 - 194;Metrobus Norte - Av Cabildo
POINT (-58.465394067364358 -34.552335097368761);107;Iberá;CABILDO AV;;Entre Guayra y Campos Salles;si;60;;Metrobus Norte - Av Cabildo
POINT (-58.46476405825986 -34.553095031120357);108;Iberá;CABILDO AV;;Entre Iberá y Guayra;si;59 - 68 - 152 - 161;;Metrobus Norte - Av Cabildo
